id_staz,id_indicatore
1,Particolato PM2.5
2,Particolato PM2.5
3,Particolato PM2.5
4,Particolato PM2.5
5,Particolato PM2.5
6,Particolato PM2.5
7,Particolato PM2.5
8,Particolato PM2.5
9,Particolato PM2.5
10,Particolato PM2.5
11,Particolato PM2.5
12,Particolato PM2.5
13,Particolato PM2.5
14,Particolato PM2.5
15,Particolato PM2.5
16,Particolato PM2.5
17,Particolato PM2.5
18,Particolato PM2.5
19,Particolato PM2.5
20,Particolato PM2.5
21,Particolato PM2.5
22,Particolato PM2.5
23,Particolato PM2.5
24,Particolato PM2.5
25,Particolato PM2.5
26,Particolato PM2.5
1,Particolato PM10
27,Particolato PM10
28,Particolato PM10
2,Particolato PM10
3,Particolato PM10
4,Particolato PM10
5,Particolato PM10
29,Particolato PM10
30,Particolato PM10
6,Particolato PM10
7,Particolato PM10
31,Particolato PM10
32,Particolato PM10
33,Particolato PM10
8,Particolato PM10
9,Particolato PM10
34,Particolato PM10
35,Particolato PM10
36,Particolato PM10
10,Particolato PM10
37,Particolato PM10
11,Particolato PM10
12,Particolato PM10
38,Particolato PM10
13,Particolato PM10
39,Particolato PM10
40,Particolato PM10
14,Particolato PM10
41,Particolato PM10
15,Particolato PM10
42,Particolato PM10
43,Particolato PM10
16,Particolato PM10
17,Particolato PM10
44,Particolato PM10
45,Particolato PM10
46,Particolato PM10
47,Particolato PM10
18,Particolato PM10
19,Particolato PM10
48,Particolato PM10
20,Particolato PM10
21,Particolato PM10
49,Particolato PM10
22,Particolato PM10
23,Particolato PM10
24,Particolato PM10
50,Particolato PM10
25,Particolato PM10
26,Particolato PM10
