id_rilevazione,anno,giorni_superamento,media_annuale,nome_indicatore,massimo,id_stazione
1,2020,89,13,Particolato PM2.5,54,1
2,2020,107,13,Particolato PM2.5,64,2
3,2020,48,11,Particolato PM2.5,40,3
4,2020,70,12,Particolato PM2.5,53,4
5,2020,95,13,Particolato PM2.5,52,5
6,2020,73,12,Particolato PM2.5,56,6
7,2020,96,13,Particolato PM2.5,52,7
8,2020,59,11,Particolato PM2.5,51,8
9,2020,40,10,Particolato PM2.5,44,9
10,2020,39,9,Particolato PM2.5,26,10
11,2020,62,11,Particolato PM2.5,66,11
12,2020,48,11,Particolato PM2.5,31,12
13,2020,49,11,Particolato PM2.5,30,13
14,2020,65,11,Particolato PM2.5,41,14
15,2020,59,11,Particolato PM2.5,40,15
16,2020,42,10,Particolato PM2.5,38,16
17,2020,119,16,Particolato PM2.5,43,17
18,2020,149,18,Particolato PM2.5,73,18
19,2020,77,12,Particolato PM2.5,43,19
20,2020,101,13,Particolato PM2.5,47,20
21,2020,89,13,Particolato PM2.5,84,21
22,2020,43,10,Particolato PM2.5,35,22
23,2020,56,11,Particolato PM2.5,38,23
24,2020,89,13,Particolato PM2.5,42,24
25,2020,85,13,Particolato PM2.5,50,25
26,2020,84,12,Particolato PM2.5,55,26
27,2020,16,20,Particolato PM10,93,1
28,2020,6,17,Particolato PM10,88,27
29,2020,6,14,Particolato PM10,84,28
30,2020,16,21,Particolato PM10,95,2
31,2020,8,20,Particolato PM10,84,3
32,2020,12,22,Particolato PM10,104,4
33,2020,14,24,Particolato PM10,116,5
34,2020,10,22,Particolato PM10,110,29
35,2020,9,20,Particolato PM10,112,30
36,2020,12,21,Particolato PM10,98,6
37,2020,11,23,Particolato PM10,104,7
38,2020,11,21,Particolato PM10,96,31
39,2020,12,24,Particolato PM10,115,32
40,2020,11,23,Particolato PM10,108,33
41,2020,14,20,Particolato PM10,113,8
42,2020,11,20,Particolato PM10,102,9
43,2020,8,19,Particolato PM10,133,34
44,2020,11,22,Particolato PM10,96,35
45,2020,8,22,Particolato PM10,99,36
46,2020,6,17,Particolato PM10,81,10
47,2020,14,22,Particolato PM10,88,37
48,2020,14,23,Particolato PM10,81,11
49,2020,10,21,Particolato PM10,79,12
50,2020,6,19,Particolato PM10,72,38
51,2020,8,21,Particolato PM10,79,13
52,2020,11,20,Particolato PM10,98,39
53,2020,10,18,Particolato PM10,93,40
54,2020,10,22,Particolato PM10,102,14
55,2020,6,17,Particolato PM10,79,41
56,2020,9,20,Particolato PM10,94,15
57,2020,12,19,Particolato PM10,104,42
58,2020,13,20,Particolato PM10,92,43
59,2020,8,17,Particolato PM10,83,16
60,2020,8,20,Particolato PM10,91,17
61,2020,7,15,Particolato PM10,82,44
62,2020,16,23,Particolato PM10,93,45
63,2020,17,24,Particolato PM10,86,46
64,2020,19,23,Particolato PM10,117,47
65,2020,31,29,Particolato PM10,107,18
66,2020,10,20,Particolato PM10,88,19
67,2020,9,21,Particolato PM10,88,48
68,2020,14,23,Particolato PM10,88,20
69,2020,14,23,Particolato PM10,92,21
70,2020,8,20,Particolato PM10,94,49
71,2020,10,19,Particolato PM10,90,22
72,2020,8,20,Particolato PM10,83,23
73,2020,13,23,Particolato PM10,102,24
74,2020,8,18,Particolato PM10,80,50
75,2020,12,22,Particolato PM10,86,25
76,2020,16,25,Particolato PM10,110,26
