id_staz,nome,tipo_zona,tipo_staz,lat,long,id_comune
1,Azienda Russo,R,F,41.546806,15.451352,236
2,Posta del Principe,R,F,41.632761,15.38772,13
3,ALTAMURA,S,T,40.827865,16.560195,25
4,Caldarola,U,T,41.11354,16.888061,26
5,CAVOUR,U,T,41.122269,16.872553,26
6,CASAMASSIMA,S,F,40.952176,16.919918,32
7,EN02 - ass. ecologia,S,I,41.137412,16.767041,43
8,MONOPOLI,S,T,40.950192,17.28948,46
9,Monopoli Italgreen,S,T,40.961573,17.284265,46
10,Taranto CISI,S,I,40.520934,17.253416,89
11,taranto MACHIAVELLI,S,I,40.488608,17.225823,89
12,taranto ADIGE,U,T,40.460553,17.263602,89
13,Taranto ARCHIMEDE,S,I,40.494441,17.233048,89
14,Brindisi VIA TARANTO,U,T,40.644,17.947996,92
15,brindisi VIA MAGELLANO,S,F,40.651686,17.943627,92
16,TERMINAL PASSEGGERI,S,I,40.647432,17.961687,92
17,Ceglie Messapica,S,F,40.649161,17.5125,94
18,TORCHIAROLO,S,I,40.487999,18.053991,109
19,Torchiarolo ENEL,S,F,40.489448,18.047226,109
20,Campi Salentina,S,F,40.397508,18.026509,122
21,La Porta,S,I,40.166948,18.174726,140
22,LECCE - S. M. Cerrate,R,F,40.459689,18.116384,146
23,GARIGLIANO,U,T,40.364457,18.174327,146
24,LIBERTINI,U,T,40.351945,18.176671,146
25,ANDRIA,U,T,41.232303,16.303109,249
26,stadio casardi,U,F,41.316669,16.286114,250
27,Manfredonia VIA DEI MANDORLI,S,T,41.629329,15.909637,237
28,Monte S. Angelo SUOLO CIUFFREDA,R,F,41.666106,15.945254,240
29,KENNEDY,U,F,41.099594,16.858905,26
30,CUS,S,F,41.134717,16.845267,26
31,EN03 - VIGILI URBANI,U,I,41.087222,16.781672,43
32,EN04 - SAN PAOLO,S,I,41.115001,16.788057,43
33,molfetta VERDI,U,T,41.201095,16.605248,45
34,Grottaglie,S,F,40.537776,17.423879,70
35,Martina Franca,U,T,40.700826,17.331939,75
36,Massafra,U,T,40.593756,17.116682,77
37,taranto SAN VITO,U,F,40.423328,17.225272,89
38,TALSANO,U,F,40.411943,17.283879,89
39,taranto WIND,S,T,40.526111,17.173611,91
40,STATTE,S,I,40.562499,17.203325,91
41,brindisi VIA DEI MILLE,S,T,40.638757,17.938152,92
42,brindisi SISRI,S,I,40.625551,17.975827,92
43,PERRINO,S,F,40.63138,17.954711,92
44,Cisternino,R,F,40.742777,17.415831,96
45,Mesagne,S,F,40.565995,17.807998,101
46,S. Pancrazio Salentino,S,F,40.422993,17.845999,106
47,S. Pietro VERNOTICO,S,I,40.485998,18.005994,107
48,ARNESANO - Riesci,S,F,40.346269,18.095072,118
49,GUAGNANO - villa baldassarri,S,F,40.418518,17.964473,145
50,Surbo ENEL,R,F,40.41194,18.120835,194
