ITTER107,Territorio,TIPO_DATO15,Tipo di indicatore demografico,SEXISTAT1,Sesso,ETA1,Età,STATCIV2,Stato civile,TIME,Seleziona periodo,Value
72006,Bari,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,163760
73027,Taranto,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,99835
74001,Brindisi,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,43952
75035,Lecce,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,49428
110002,Barletta,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,46975
110009,Trani,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,28048
75002,Alessano,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,3249
75003,Alezio,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,2960
75004,Alliste,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,3401
72004,Altamura,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,35668
75005,Andrano,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,2404
71004,Apricena,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,6487
75006,Aradeo,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,4745
71024,Foggia,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,76738
110001,Andria,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,49793
71001,Accadia,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,1174
72001,Acquaviva delle Fonti,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,10413
72002,Adelfia,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,8486
72003,Alberobello,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,5453
71002,Alberona,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,461
71003,Anzano di Puglia,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,612
75007,Arnesano,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,2013
71005,Ascoli Satriano,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,2989
73001,Avetrana,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,3348
75008,Bagnolo del Salento,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,924
71006,Biccari,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,1356
72008,Binetto,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,1087
110003,Bisceglie,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,27517
72010,Bitetto,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,6052
72011,Bitonto,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,26657
72012,Bitritto,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,5725
75009,Botrugno,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,1410
71007,Bovino,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,1590
